É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/09/24 01:33:07

,,,,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR
2018,12,5,2,0.0,1,15.0,1,1.3,êºñkêº,1
2018,12,5,3,0.0,1,14.3,1,0.0,ê√â∏,1
2018,12,5,4,0.0,1,13.6,1,0.8,ìÏìÏìå,1
2018,12,5,5,0.0,1,13.5,1,0.9,êºìÏêº,1
2018,12,5,6,0.0,1,13.0,1,0.0,ê√â∏,1
2018,12,5,7,0.0,1,12.6,1,0.6,ñkêº,1
2018,12,5,8,0.0,1,12.9,1,0.0,ê√â∏,1
2018,12,5,9,0.0,1,14.3,1,0.8,ñkñkêº,1
2018,12,5,10,0.0,1,15.8,1,0.2,ê√â∏,1
2018,12,5,11,0.0,1,17.1,1,0.9,êº,1
2018,12,5,12,0.0,1,19.0,1,2.1,ñkêº,1
2018,12,5,13,0.0,1,18.8,1,2.9,ñk,1
2018,12,5,14,0.0,1,18.3,1,2.9,ñkñkìå,1
2018,12,5,15,0.0,1,17.8,1,2.8,ñkñkìå,1
2018,12,5,16,0.0,1,17.1,1,2.3,ñkñkìå,1
2018,12,5,17,0.0,1,15.6,1,3.3,ñkìå,1
2018,12,5,18,0.0,1,14.1,1,1.8,ñkñkìå,1
2018,12,5,19,0.0,1,13.4,1,2.6,ñkñkìå,1
2018,12,5,20,0.0,1,13.1,1,2.4,ñkìå,1
2018,12,5,21,0.0,1,12.8,1,2.9,ñkñkìå,1
2018,12,5,22,0.0,1,11.9,1,1.6,ìåñkìå,1
2018,12,5,23,0.0,1,10.9,1,0.8,ìå,1
2018,12,5,24,0.0,1,10.4,1,0.7,ìåñkìå,1
2018,12,6,1,0.0,1,10.5,1,0.9,ìåñkìå,1
2018,12,6,2,0.0,1,10.6,1,1.2,ñkìå,1
2018,12,6,3,0.0,1,10.6,1,1.4,ñkñkìå,1
2018,12,6,4,0.0,1,10.7,1,1.5,ñkñkìå,1
2018,12,6,5,0.0,1,10.5,1,1.6,ìåñkìå,1
2018,12,6,6,0.0,1,11.0,1,1.5,ñkñkìå,1
2018,12,6,7,0.0,1,11.0,1,1.5,ñkñkìå,1
2018,12,6,8,0.0,1,11.0,1,1.7,ñkìå,1
2018,12,6,9,0.5,1,10.3,1,1.1,ñkñkìå,1
2018,12,6,10,0.5,1,10.4,1,0.9,ñkìå,1
2018,12,6,11,0.0,1,10.7,1,1.5,ñk,1
2018,12,6,12,2.0,1,10.2,1,1.0,êºñkêº,1
2018,12,6,13,3.0,1,10.3,1,0.2,ê√â∏,1
2018,12,6,14,0.0,1,10.8,1,1.5,êºìÏêº,1
2018,12,6,15,1.5,1,11.5,1,2.0,êºìÏêº,1
2018,12,6,16,0.0,1,11.6,1,1.6,êºìÏêº,1
2018,12,6,17,0.0,1,11.8,1,2.1,êº,1
2018,12,6,18,0.0,1,11.6,1,1.3,êºìÏêº,1
2018,12,6,19,0.0,1,11.6,1,0.9,ìÏìÏêº,1
2018,12,6,20,0.0,1,11.3,1,0.6,ìåñkìå,1
2018,12,6,21,0.0,1,10.8,1,1.2,êº,1
2018,12,6,22,0.0,1,10.2,1,0.7,êºìÏêº,1
2018,12,6,23,0.0,1,10.5,1,0.4,ñkêº,1
2018,12,6,24,0.0,1,11.7,1,2.0,êºñkêº,1
2018,12,7,1,0.0,1,11.4,1,0.6,ñkñkêº,1
2018,12,7,2,0.0,1,10.9,1,0.5,êº,1
2018,12,7,3,0.0,1,11.0,1,1.0,êºìÏêº,1
2018,12,7,4,0.0,1,11.1,1,0.8,êº,1
2018,12,7,5,0.0,1,10.6,1,0.2,ê√â∏,1
2018,12,7,6,0.0,1,11.3,1,2.0,êºìÏêº,1
2018,12,7,7,0.0,1,10.8,1,1.3,êºìÏêº,1
2018,12,7,8,0.0,1,11.1,1,1.7,êºìÏêº,1
2018,12,7,9,0.0,1,11.7,1,2.4,êºñkêº,1
2018,12,7,10,0.0,1,12.4,1,3.7,êºñkêº,1
2018,12,7,11,0.0,1,13.5,1,4.6,ñkêº,1
2018,12,7,12,0.0,1,13.6,1,5.1,êº,1
2018,12,7,13,0.0,1,12.8,1,5.3,êºñkêº,1
2018,12,7,14,0.0,1,10.6,1,5.6,êº,1
2018,12,7,15,0.0,1,10.1,1,4.7,êºñkêº,1
2018,12,7,16,0.0,1,9.0,1,4.3,êºñkêº,1
2018,12,7,17,0.0,1,8.2,1,4.0,êº,1
2018,12,7,18,0.0,1,7.3,1,3.7,êº,1
2018,12,7,19,0.0,1,6.6,1,3.9,êº,1
2018,12,7,20,0.0,1,6.0,1,3.9,êºñkêº,1
2018,12,7,21,0.0,1,5.7,1,2.6,êº,1
2018,12,7,22,0.0,1,5.6,1,2.8,êº,1
2018,12,7,23,0.0,1,5.5,1,3.2,êº,1
2018,12,7,24,0.0,1,5.5,1,3.0,êºñkêº,1
2018,12,8,1,0.0,1,5.4,1,3.3,êºñkêº,1
2018,12,8,2,0.0,1,5.1,1,3.4,êºñkêº,1
2018,12,8,3,0.0,1,4.7,1,2.4,êºñkêº,1
2018,12,8,4,0.0,1,5.1,1,3.7,êºñkêº,1
2018,12,8,5,0.0,1,4.8,1,3.6,êº,1
2018,12,8,6,0.0,1,4.2,1,2.2,êºìÏêº,1
2018,12,8,7,0.0,1,4.5,1,3.1,êº,1
2018,12,8,8,0.0,1,4.8,1,4.0,êº,1
2018,12,8,9,0.0,1,5.6,1,4.8,êºìÏêº,1
2018,12,8,10,0.0,1,5.9,1,5.3,êºìÏêº,1
2018,12,8,11,0.0,1,6.4,1,5.0,êº,1
2018,12,8,12,0.0,1,7.2,1,5.0,êº,1
2018,12,8,13,0.0,1,7.4,1,5.5,êº,1
2018,12,8,14,0.0,1,6.2,1,5.2,êºñkêº,1
2018,12,8,15,0.0,1,6.7,1,5.5,êº,1
2018,12,8,16,0.0,1,6.1,1,3.6,êºñkêº,1
2018,12,8,17,0.0,1,4.6,1,4.3,êº,1
2018,12,8,18,0.0,1,3.5,1,3.4,êº,1
2018,12,8,19,0.0,1,3.1,1,3.2,êº,1
2018,12,8,20,0.0,1,2.8,1,4.0,êºìÏêº,1
2018,12,8,21,0.0,1,2.8,1,2.7,ìÏêº,1
2018,12,8,22,0.0,1,2.6,1,2.7,ìÏêº,1
2018,12,8,23,0.0,1,2.8,1,3.4,ìÏêº,1
2018,12,8,24,0.0,1,2.6,1,2.6,ìÏêº,1
2018,12,9,1,0.0,1,2.8,1,3.1,êºìÏêº,1
2018,12,9,2,0.0,1,2.9,1,2.5,ìÏêº,1
2018,12,9,3,0.0,1,2.8,1,2.7,ìÏêº,1
2018,12,9,4,0.0,1,2.8,1,2.5,êºìÏêº,1
2018,12,9,5,0.0,1,2.3,1,2.1,êºìÏêº,1
2018,12,9,6,0.0,1,2.3,1,1.9,ìÏêº,1
2018,12,9,7,0.0,1,2.3,1,2.6,ìÏêº,1
2018,12,9,8,0.0,1,2.7,1,1.6,êº,1
2018,12,9,9,0.0,1,4.2,1,2.6,êº,1
2018,12,9,10,0.0,1,5.0,1,2.8,êºìÏêº,1
2018,12,9,11,0.0,1,5.6,1,3.2,êº,1
2018,12,9,12,0.0,1,5.5,1,2.0,ñkêº,1
2018,12,9,13,0.0,1,6.3,1,2.1,ìÏêº,1
2018,12,9,14,0.0,1,6.8,1,2.0,ñkêº,1
2018,12,9,15,0.0,1,6.6,1,2.3,êºñkêº,1
2018,12,9,16,0.0,1,6.3,1,1.8,êºñkêº,1
2018,12,9,17,0.0,1,5.7,1,1.7,êº,1
2018,12,9,18,0.0,1,4.9,1,1.1,êºñkêº,1
2018,12,9,19,0.0,1,4.2,1,0.1,ê√â∏,1
2018,12,9,20,0.0,1,3.7,1,0.6,ìåñkìå,1
2018,12,9,21,0.0,1,3.2,1,0.5,ñk,1
2018,12,9,22,0.0,1,3.1,1,0.4,ñkñkêº,1
2018,12,9,23,0.0,1,2.5,1,0.8,êºìÏêº,1
2018,12,9,24,0.0,1,2.3,1,0.9,ìÏìå,1
2018,12,10,1,0.0,1,2.1,1,0.4,ìÏìå,1
2018,12,10,2,0.0,1,1.7,1,0.0,ê√â∏,1
2018,12,10,3,0.0,1,1.6,1,0.9,ñkìå,1
2018,12,10,4,0.0,1,1.2,1,0.5,ìÏìå,1
2018,12,10,5,0.0,1,1.0,1,0.0,ê√â∏,1
2018,12,10,6,0.0,1,1.1,1,0.2,ê√â∏,1
2018,12,10,7,0.0,1,1.1,1,0.0,ê√â∏,1
2018,12,10,8,0.0,1,1.7,1,0.7,ìÏìå,1
2018,12,10,9,0.0,1,3.1,1,0.6,ìåñkìå,1
2018,12,10,10,0.0,1,4.6,1,0.5,ñk,1
2018,12,10,11,0.0,1,6.7,1,0.0,ê√â∏,1
2018,12,10,12,0.0,1,7.5,1,0.9,êº,1
2018,12,10,13,0.0,1,8.5,1,1.9,ìåìÏìå,1
2018,12,10,14,0.0,1,10.0,1,1.0,ñkêº,1
2018,12,10,15,0.0,1,9.7,1,1.2,ñkìå,1
2018,12,10,16,0.0,1,9.6,1,1.7,ìå,1
2018,12,10,17,0.0,1,8.6,1,1.1,ìå,1
2018,12,10,18,0.0,1,7.2,1,1.0,ñkìå,1
2018,12,10,19,0.0,1,6.2,1,0.6,ìåñkìå,1
2018,12,10,20,0.0,1,5.3,1,0.8,ìåñkìå,1
2018,12,10,21,0.0,1,4.0,1,0.1,ê√â∏,1
2018,12,10,22,0.0,1,3.3,1,0.7,ñkñkêº,1
2018,12,10,23,0.0,1,2.6,1,0.4,ñkñkìå,1
2018,12,10,24,0.0,1,2.0,1,0.0,ê√â∏,1
2018,12,11,1,0.0,1,1.9,1,1.2,ñkñkìå,1
2018,12,11,2,0.0,1,1.5,1,1.4,ñkìå,1
2018,12,11,3,0.0,1,1.2,1,0.4,ìåñkìå,1
2018,12,11,4,0.0,1,0.8,1,0.3,ìÏìÏìå,1
2018,12,11,5,0.0,1,0.5,1,0.7,ñkñkìå,1
2018,12,11,6,0.0,1,0.3,1,0.0,ê√â∏,1
2018,12,11,7,0.0,1,0.9,1,1.1,ñkìå,1
2018,12,11,8,0.0,1,1.8,1,0.6,ñkìå,1
2018,12,11,9,0.0,1,3.1,1,0.7,ñk,1
2018,12,11,10,0.0,1,4.8,1,1.5,ñkñkìå,1
2018,12,11,11,0.0,1,6.6,1,1.8,ñkìå,1
2018,12,11,12,0.0,1,7.4,1,1.3,ñkìå,1
2018,12,11,13,0.0,1,7.4,1,2.0,ñkñkìå,1
2018,12,11,14,1.0,1,6.8,1,1.3,ñk,1
2018,12,11,15,0.5,1,6.8,1,1.8,ñk,1
2018,12,11,16,1.0,1,6.2,1,1.4,ñkêº,1
2018,12,11,17,1.5,1,5.8,1,1.4,ñkìå,1
2018,12,11,18,2.0,1,5.3,1,1.6,ñkñkìå,1
2018,12,11,19,2.0,1,5.2,1,1.0,ñkìå,1
2018,12,11,20,0.0,1,5.2,1,1.9,ñkìå,1
2018,12,11,21,0.5,1,5.3,1,1.4,ñkñkìå,1
2018,12,11,22,2.0,1,5.5,1,1.0,ñk,1
2018,12,11,23,0.5,1,5.4,1,0.6,ñkñkìå,1
2018,12,11,24,0.5,1,5.3,1,0.2,ê√â∏,1
2018,12,12,1,2.5,1,5.4,1,1.1,êºñkêº,1
2018,12,12,2,1.5,1,5.6,1,0.9,êºìÏêº,1
2018,12,12,3,0.5,1,6.0,1,1.7,êºìÏêº,1
2018,12,12,4,0.0,1,6.5,1,1.4,êº,1
2018,12,12,5,0.0,1,6.9,1,1.3,ìÏêº,1
2018,12,12,6,0.0,1,6.5,1,1.1,êºìÏêº,1
2018,12,12,7,0.0,1,6.7,1,0.9,êºìÏêº,1
2018,12,12,8,0.0,1,7.3,1,1.2,êºìÏêº,1
2018,12,12,9,0.0,1,9.2,1,1.3,êº,1
2018,12,12,10,0.0,1,11.3,1,1.6,êºñkêº,1
2018,12,12,11,0.0,1,12.1,1,3.0,ñkêº,1
2018,12,12,12,0.0,1,11.9,1,2.9,ñkêº,1
2018,12,12,13,0.0,1,12.8,1,4.7,ñkêº,1
2018,12,12,14,0.0,1,11.6,1,4.5,ñkêº,1
2018,12,12,15,0.0,1,11.4,1,4.6,ñkêº,1
2018,12,12,16,0.0,1,10.7,1,3.0,ñkêº,1
2018,12,12,17,0.0,1,8.4,1,2.2,ñkêº,1
2018,12,12,18,0.0,1,7.7,1,0.8,ñkñkêº,1
2018,12,12,19,0.0,1,6.8,1,0.9,êºìÏêº,1
2018,12,12,20,0.0,1,5.4,1,0.7,êºìÏêº,1
2018,12,12,21,0.0,1,4.9,1,1.1,êº,1
2018,12,12,22,0.0,1,4.1,1,0.0,ê√â∏,1
2018,12,12,23,0.0,1,3.6,1,0.6,ñkêº,1
2018,12,12,24,0.0,1,3.3,1,1.0,ñk,1
2018,12,13,1,0.0,1,2.5,1,0.3,êºñkêº,1
2018,12,13,2,0.0,1,2.2,1,0.6,ìÏìå,1
2018,12,13,3,0.0,1,1.9,1,1.6,ñkñkìå,1
2018,12,13,4,0.0,1,1.8,1,0.0,ê√â∏,1
2018,12,13,5,0.0,1,2.2,1,0.1,ê√â∏,1
2018,12,13,6,0.0,1,2.9,1,0.4,ìÏìå,1
2018,12,13,7,0.0,1,2.5,1,0.0,ê√â∏,1
2018,12,13,8,0.0,1,2.9,1,0.6,ìåìÏìå,1
2018,12,13,9,0.0,1,4.8,1,0.4,êº,1
2018,12,13,10,0.0,1,7.0,1,0.9,ìÏìÏêº,1
2018,12,13,11,0.0,1,9.5,1,2.6,êºìÏêº,1
2018,12,13,12,0.0,1,10.1,1,4.2,êº,1
2018,12,13,13,0.0,1,10.2,1,3.4,êº,1
2018,12,13,14,0.0,1,11.7,1,3.5,êºìÏêº,1
2018,12,13,15,0.0,1,11.1,1,3.8,ìÏêº,1
2018,12,13,16,0.0,1,10.9,1,2.9,êºìÏêº,1
2018,12,13,17,0.0,1,9.3,1,2.9,êºñkêº,1
2018,12,13,18,0.0,1,8.4,1,2.1,êºñkêº,1
2018,12,13,19,0.0,1,7.6,1,2.5,êºñkêº,1
2018,12,13,20,0.0,1,7.3,1,2.3,êºñkêº,1
2018,12,13,21,0.0,1,7.1,1,2.5,êº,1
2018,12,13,22,0.0,1,6.7,1,2.3,êºìÏêº,1
2018,12,13,23,0.0,1,6.5,1,2.3,êº,1
2018,12,13,24,0.0,1,6.7,1,2.5,êº,1
2018,12,14,1,0.0,1,6.4,1,2.0,ìÏêº,1
2018,12,14,2,0.0,1,5.7,1,1.2,êºñkêº,1
2018,12,14,3,0.0,1,5.6,1,1.1,ñkñkêº,1
2018,12,14,4,0.0,1,5.2,1,1.5,ñkñkêº,1
2018,12,14,5,0.0,1,4.1,1,0.7,ñk,1
2018,12,14,6,0.0,1,3.0,1,0.0,ê√â∏,1
2018,12,14,7,0.0,1,3.0,1,0.4,êºñkêº,1
2018,12,14,8,0.0,1,4.1,1,0.2,ê√â∏,1
2018,12,14,9,0.0,1,5.7,1,1.1,ìÏìÏêº,1
2018,12,14,10,0.0,1,7.5,1,0.7,ñk,1
2018,12,14,11,0.0,1,9.5,1,1.9,ñk,1
2018,12,14,12,0.0,1,9.1,1,0.9,ñkêº,1
2018,12,14,13,0.0,1,9.4,1,1.9,ñk,1
2018,12,14,14,0.0,1,9.1,1,2.3,ñkñkêº,1
2018,12,14,15,0.0,1,9.1,1,1.7,ñkñkêº,1
2018,12,14,16,0.0,1,9.1,1,2.4,ñk,1
2018,12,14,17,0.0,1,8.1,1,2.7,ñkñkìå,1
2018,12,14,18,0.0,1,7.2,1,1.3,ñkñkìå,1
2018,12,14,19,0.0,1,6.9,1,1.4,ñkñkêº,1
2018,12,14,20,0.0,1,6.5,1,1.1,ñkñkìå,1
2018,12,14,21,0.0,1,5.0,1,1.4,ìåñkìå,1
2018,12,14,22,0.0,1,4.5,1,0.8,êºñkêº,1
2018,12,14,23,0.0,1,3.6,1,0.6,ìåñkìå,1
2018,12,14,24,0.0,1,2.9,1,0.1,ê√â∏,1
2018,12,15,1,0.0,1,2.4,1,1.2,ìÏ,1
2018,12,15,2,0.0,1,1.8,1,0.5,ìÏ,1
2018,12,15,3,0.0,1,1.5,1,1.3,ìÏìå,1
2018,12,15,4,0.0,1,1.3,1,1.0,ìÏìå,1
2018,12,15,5,0.0,1,1.2,1,0.7,ìÏìÏìå,1
2018,12,15,6,0.0,1,1.5,1,0.0,ê√â∏,1
2018,12,15,7,0.0,1,1.6,1,0.1,ê√â∏,1
2018,12,15,8,0.0,1,2.7,1,0.2,ê√â∏,1
2018,12,15,9,0.0,1,3.8,1,0.3,ìÏìÏìå,1
2018,12,15,10,0.0,1,6.0,1,0.1,ê√â∏,1
2018,12,15,11,0.0,1,7.8,1,0.5,ìå,1
2018,12,15,12,0.0,1,9.5,1,1.8,êºñkêº,1
2018,12,15,13,0.0,1,9.0,1,2.4,ìåñkìå,1
2018,12,15,14,0.0,1,10.1,1,1.7,ñk,1
2018,12,15,15,0.0,1,9.7,1,0.7,ñk,1
2018,12,15,16,0.0,1,9.4,1,0.6,ñk,1
2018,12,15,17,0.0,1,8.6,1,1.2,ìåìÏìå,1
2018,12,15,18,0.0,1,7.8,1,1.1,ìå,1
2018,12,15,19,0.0,1,6.2,1,1.8,ìåñkìå,1
2018,12,15,20,0.0,1,5.6,1,1.3,ìåñkìå,1
2018,12,15,21,0.0,1,4.5,1,1.0,ìåñkìå,1
2018,12,15,22,0.0,1,3.9,1,1.2,ìåñkìå,1
2018,12,15,23,0.0,1,3.1,1,1.2,ñkìå,1
2018,12,15,24,0.0,1,2.3,1,0.6,ìåñkìå,1
2018,12,16,1,0.0,1,1.6,1,0.7,ñkìå,1
2018,12,16,2,0.0,1,1.2,1,0.0,ê√â∏,1
2018,12,16,3,0.0,1,0.9,1,1.0,ñkìå,1
2018,12,16,4,0.0,1,0.4,1,0.8,ñkñkìå,1
2018,12,16,5,0.0,1,0.0,1,0.5,ìåñkìå,1
2018,12,16,6,0.0,1,-0.3,1,1.2,ñkñkìå,1
2018,12,16,7,0.0,1,-0.6,1,1.0,ñkìå,1
2018,12,16,8,0.0,1,0.4,1,0.4,ñkñkìå,1
2018,12,16,9,0.0,1,1.8,1,1.0,ìåñkìå,1
2018,12,16,10,0.0,1,3.7,1,1.3,ñkìå,1
2018,12,16,11,0.0,1,6.7,1,2.1,ñkìå,1
2018,12,16,12,0.0,1,8.0,1,1.8,ìåñkìå,1
2018,12,16,13,0.0,1,9.0,1,1.5,ñkìå,1
2018,12,16,14,0.0,1,9.5,1,1.8,ñkñkìå,1
2018,12,16,15,0.0,1,9.1,1,1.1,ñkñkêº,1
2018,12,16,16,0.0,1,8.0,1,1.2,ñkñkìå,1
2018,12,16,17,0.5,1,7.4,1,0.7,ìå,1
2018,12,16,18,0.0,1,7.3,1,0.7,ñkìå,1
2018,12,16,19,0.0,1,7.3,1,1.2,ñk,1
2018,12,16,20,0.5,1,7.3,1,0.5,ñk,1
2018,12,16,21,0.5,1,7.4,1,0.7,ñkêº,1
2018,12,16,22,2.0,1,7.2,1,0.6,ñkñkêº,1
2018,12,16,23,1.0,1,7.1,1,0.0,ê√â∏,1
2018,12,16,24,1.5,1,6.9,1,0.6,ñkñkêº,1
2018,12,17,1,0.5,1,6.8,1,0.6,ñkñkêº,1
2018,12,17,2,0.5,1,6.7,1,0.6,êº,1
2018,12,17,3,0.0,1,6.3,1,0.4,ñkêº,1
2018,12,17,4,0.0,1,5.6,1,0.0,ê√â∏,1
2018,12,17,5,0.0,1,4.8,1,0.3,ñkêº,1
2018,12,17,6,0.0,1,5.2,1,0.8,ñkêº,1
2018,12,17,7,0.0,1,4.6,1,1.4,êº,1
2018,12,17,8,0.0,1,4.7,1,1.8,êºñkêº,1
2018,12,17,9,0.0,1,6.0,1,0.7,ìÏìÏêº,1
2018,12,17,10,0.0,1,7.8,1,0.7,êº,1
2018,12,17,11,0.0,1,11.3,1,1.9,êºñkêº,1
2018,12,17,12,0.0,1,11.0,1,4.9,êº,1
2018,12,17,13,0.0,1,11.0,1,3.8,êºñkêº,1
2018,12,17,14,0.0,1,11.1,1,5.5,êº,1
2018,12,17,15,0.0,1,11.2,1,2.5,êºñkêº,1
2018,12,17,16,0.0,1,10.3,1,6.0,êº,1
2018,12,17,17,0.0,1,9.0,1,3.8,êº,1
2018,12,17,18,0.0,1,8.3,1,3.3,êºìÏêº,1
2018,12,17,19,0.0,1,7.6,1,2.0,êºìÏêº,1
2018,12,17,20,0.0,1,6.9,1,2.6,ìÏêº,1
2018,12,17,21,0.0,1,5.9,1,0.8,ñkñkêº,1
2018,12,17,22,0.0,1,5.4,1,1.3,êº,1
